module|npm_latest|repository_host|repository_org|repository_repo|repository_type|repository_url
audit-copy|0.1.0|github.com|emilioplatzer|audit-copy.git|git|git+https://github.com/emilioplatzer/audit-copy.git
backend-plus|2.0.0-rc.13|github.com|codenautas|backend-plus.git|git|git+https://github.com/codenautas/backend-plus.git
colors|1.4.0|github.com|Marak|colors.js.git|git|git+ssh://git@github.com/Marak/colors.js.git
cookie-parser|1.4.6|github.com|expressjs|cookie-parser.git|git|git+https://github.com/expressjs/cookie-parser.git
discrepances|0.2.8|github.com|codenautas|discrepances.git|git|git+https://github.com/codenautas/discrepances.git
expect.js|0.3.1|github.com|LearnBoost|expect.js.git|git|git://github.com/LearnBoost/expect.js.git
express|4.19.2|github.com|expressjs|express.git|git|git+https://github.com/expressjs/express.git
express-session|1.18.0|github.com|expressjs|session.git|git|git+https://github.com/expressjs/session.git
guarantee-type|0.1.2|github.com|emilioplatzer|guarantee-type.git|git|git+https://github.com/emilioplatzer/guarantee-type.git
karma|6.4.3|github.com|karma-runner|karma.git|git|git://github.com/karma-runner/karma.git
karma-chrome-launcher|3.2.0|github.com|karma-runner|karma-chrome-launcher.git|git|git://github.com/karma-runner/karma-chrome-launcher.git
karma-coverage|2.2.1|github.com|karma-runner|karma-coverage.git|git|git://github.com/karma-runner/karma-coverage.git
karma-coverage-html-index-reporter|1.0.2|||||
karma-expect|1.1.3|github.com|princed|karma-expect.git|git|git+https://github.com/princed/karma-expect.git
karma-firefox-launcher|2.1.3|github.com|karma-runner|karma-firefox-launcher.git|git|git://github.com/karma-runner/karma-firefox-launcher.git
karma-mocha|2.0.1|github.com|karma-runner|karma-mocha.git|git|git://github.com/karma-runner/karma-mocha.git
mixin-patch|0.4.1|github.com|emilioplatzer|mixin-patch.git|git|git+https://github.com/emilioplatzer/mixin-patch.git
mocha|10.4.0|github.com|mochajs|mocha.git|git|git+https://github.com/mochajs/mocha.git
nyc|15.1.0|github.com|istanbuljs|nyc.git|git|git+ssh://git@github.com/istanbuljs/nyc.git
pg-triggers|0.3.2|github.com|emilioplatzer|pg-triggers.git|git|git+https://github.com/emilioplatzer/pg-triggers.git
require-bro|0.3.1|github.com|codenautas|require-bro.git|git|git+https://github.com/codenautas/require-bro.git
semver|7.6.0|github.com|npm|node-semver.git|git|git+https://github.com/npm/node-semver.git
simple-git|3.24.0|github.com|steveukx|git-js.git|git|git+https://github.com/steveukx/git-js.git
sinon|17.0.1|github.com|sinonjs|sinon.git|git|git+ssh://git@github.com/sinonjs/sinon.git
types.d.ts|0.6.21|||||
@types/node|20.12.8|github.com|DefinitelyTyped|DefinitelyTyped.git|git|https://github.com/DefinitelyTyped/DefinitelyTyped.git
@types/semver|7.5.8|github.com|DefinitelyTyped|DefinitelyTyped.git|git|https://github.com/DefinitelyTyped/DefinitelyTyped.git
typescript|5.4.5|github.com|Microsoft|TypeScript.git|git|git+https://github.com/Microsoft/TypeScript.git
